Scholarship_Name,Provider,Level,Eligible_Classes,Gender,Category,Income_Limit,Amount,Application_Link,Last_Date,Description,Official_Website,Source_URL
UGC Scholarships & Fellowships,UGC,Central,UG/PG/PhD,All,Merit/Research,Varies,Varies,https://www.ugc.gov.in/,Varies,UGC administered scholarships & research fellowships,ugc.gov.in,https://www.ugc.gov.in/
AICTE Scholarship (General),AICTE,Central,Diploma/Degree,All,Merit/Need,Varies,Varies,https://www.aicte-india.org/,Varies,Various AICTE scholarships,aicte-india.org,https://www.aicte-india.org/
NSP Central Sector Scholarship for College Students,National Scholarship Portal,Central,UG,All,Merit,Varies,Varies,https://scholarships.gov.in/,Varies,Central sector scholarship for college students,scholarships.gov.in,https://scholarships.gov.in/
Pragati (AICTE) Additional Schemes,AICTE,Central,UG (Female),Female,All,"₹8,00,000",Varies,https://www.aicte-india.org/,Varies,Additional Pragati variants,aicte-india.org,https://www.aicte-india.org/
Saksham (AICTE) Additional Schemes,AICTE,Central,UG/PG,All,PwD,"₹8,00,000",Varies,https://www.aicte-india.org/,Varies,Additional Saksham variants,aicte-india.org,https://www.aicte-india.org/
BC/MBC Post Matric Scholarship (TN),"BC/MBC Welfare Dept, Tamil Nadu",State,Post-Matric/UG/PG,All,BC/MBC/DNC,₹2.5 lakh,Varies,https://bcmbcmw.tn.gov.in/welfschemes.htm,Varies,State post-matric support for BC/MBC,bcmbcmw.tn.gov.in,https://bcmbcmw.tn.gov.in/
Minorities Post Matric Scholarship (TN),"Minorities Welfare Dept, Tamil Nadu",State,Post-Matric/UG/PG,All,Minority,₹2.5 lakh,Varies,https://bcmbcmw.tn.gov.in/welfschemes_minorities.htm,Varies,State minority scholarships,bcmbcmw.tn.gov.in,https://bcmbcmw.tn.gov.in/
Adi Dravidar Welfare Post Matric Scholarship (TN),"Adi Dravidar Welfare Dept, Tamil Nadu",State,Post-Matric/UG/PG,All,SC/ST,₹2.5 lakh,Varies,https://www.tnadw.in/post_matric,Varies,Adi Dravidar welfare scholarships,tnadw.in,https://www.tnadw.in/
Pudhumai Penn Scheme (TN),Government of Tamil Nadu,State,6th-12th,Female,All,No limit,₹1000/month,https://www.tn.gov.in/,Varies,Girl child support scheme,tn.gov.in,https://www.tn.gov.in/
Naan Mudhalvan Scholarship (TN),Government of Tamil Nadu,State,Graduate (competitive exam aspirants),All,All,Varies,"₹7,500/month for 10 months",https://www.tn.gov.in/,Varies,Support for competitive exam aspirants,tn.gov.in,https://www.tn.gov.in/
State Sports Scholarship (TN),Tamil Nadu Sports Dept,State,School/UG,All,Sportspersons,Varies,Stipend/Training,https://www.sports.tn.gov.in/,Varies,State sports scholarships,sports.tn.gov.in,https://sports.tn.gov.in/
State Merit Scholarships (District-level TN),Tamil Nadu Education Dept,State,School/College,All,Merit,Varies,Cash awards,https://tndce.tn.gov.in/,Varies,District merit scholarships across TN,tndce.tn.gov.in,https://tndce.tn.gov.in/
Differently Abled Scholarships (TN),Tamil Nadu Welfare Depts,State,School/UG/PG,All,PwD,Varies,Varies,https://www.tnadw.in/,Varies,Scholarships for persons with disability,tnadw.in,https://www.tnadw.in/
Adi Dravidar Overseas Scholarship (TN),"Adi Dravidar Welfare Dept, Tamil Nadu",State,PG/PhD/Overseas,All,SC/ST,Varies,Varies,https://www.tnadw.in/,Varies,Support for higher studies abroad,tnadw.in,https://www.tnadw.in/
State Free Education Scheme (Fee concession BC/MBC),"BC/MBC Welfare Dept, Tamil Nadu",State,UG/PG/Professional,All,BC/MBC/DNC,Varies,Fee concession,https://bcmbcmw.tn.gov.in/,Varies,Fee concession schemes for backward classes,bcmbcmw.tn.gov.in,https://bcmbcmw.tn.gov.in/
Post Matric Scholarship - SC (Central),National Scholarship Portal,Central,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - SC (Central) - curated entry for SC category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - SC (Central),National Scholarship Portal,Central,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - SC (Central) - curated entry for SC category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - SC (Central),Ministry of Education,Central,UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - SC (Central) - curated entry for SC category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - SC (Central),Ministry of Social Justice,Central,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - SC (Central) - curated entry for SC category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - SC (Central),UGC,Central,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - SC (Central) - curated entry for SC category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - SC (Central),AICTE,Central,UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - SC (Central) - curated entry for SC category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - SC (TN),Tamil Nadu Government,State,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - SC (TN) - curated entry for SC category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - SC (TN),District Education Office,State,UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - SC (TN) - curated entry for SC category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - SC (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - SC (TN) - curated entry for SC category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - SC (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,SC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - SC (TN) - curated entry for SC category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - ST (Central),National Scholarship Portal,Central,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - ST (Central) - curated entry for ST category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - ST (Central),National Scholarship Portal,Central,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - ST (Central) - curated entry for ST category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - ST (Central),Ministry of Education,Central,UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - ST (Central) - curated entry for ST category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - ST (Central),Ministry of Social Justice,Central,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - ST (Central) - curated entry for ST category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - ST (Central),UGC,Central,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - ST (Central) - curated entry for ST category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - ST (Central),AICTE,Central,UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - ST (Central) - curated entry for ST category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - ST (TN),Tamil Nadu Government,State,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - ST (TN) - curated entry for ST category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - ST (TN),District Education Office,State,UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - ST (TN) - curated entry for ST category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - ST (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - ST (TN) - curated entry for ST category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - ST (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,ST,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - ST (TN) - curated entry for ST category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - OBC (Central),National Scholarship Portal,Central,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - OBC (Central) - curated entry for OBC category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - OBC (Central),National Scholarship Portal,Central,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - OBC (Central) - curated entry for OBC category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - OBC (Central),Ministry of Education,Central,UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - OBC (Central) - curated entry for OBC category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - OBC (Central),Ministry of Social Justice,Central,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - OBC (Central) - curated entry for OBC category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - OBC (Central),UGC,Central,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - OBC (Central) - curated entry for OBC category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - OBC (Central),AICTE,Central,UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - OBC (Central) - curated entry for OBC category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - OBC (TN),Tamil Nadu Government,State,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - OBC (TN) - curated entry for OBC category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - OBC (TN),District Education Office,State,UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - OBC (TN) - curated entry for OBC category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - OBC (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - OBC (TN) - curated entry for OBC category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - OBC (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - OBC (TN) - curated entry for OBC category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - BC (Central),National Scholarship Portal,Central,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - BC (Central) - curated entry for BC category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - BC (Central),National Scholarship Portal,Central,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - BC (Central) - curated entry for BC category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - BC (Central),Ministry of Education,Central,UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - BC (Central) - curated entry for BC category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - BC (Central),Ministry of Social Justice,Central,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - BC (Central) - curated entry for BC category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - BC (Central),UGC,Central,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - BC (Central) - curated entry for BC category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - BC (Central),AICTE,Central,UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - BC (Central) - curated entry for BC category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - BC (TN),Tamil Nadu Government,State,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - BC (TN) - curated entry for BC category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - BC (TN),District Education Office,State,UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - BC (TN) - curated entry for BC category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - BC (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - BC (TN) - curated entry for BC category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - BC (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,BC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - BC (TN) - curated entry for BC category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - MBC (Central),National Scholarship Portal,Central,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - MBC (Central) - curated entry for MBC category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - MBC (Central),National Scholarship Portal,Central,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - MBC (Central) - curated entry for MBC category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - MBC (Central),Ministry of Education,Central,UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - MBC (Central) - curated entry for MBC category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - MBC (Central),Ministry of Social Justice,Central,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - MBC (Central) - curated entry for MBC category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - MBC (Central),UGC,Central,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - MBC (Central) - curated entry for MBC category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - MBC (Central),AICTE,Central,UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - MBC (Central) - curated entry for MBC category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - MBC (TN),Tamil Nadu Government,State,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - MBC (TN) - curated entry for MBC category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - MBC (TN),District Education Office,State,UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - MBC (TN) - curated entry for MBC category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - MBC (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - MBC (TN) - curated entry for MBC category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - MBC (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,MBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - MBC (TN) - curated entry for MBC category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - Minority (Central),National Scholarship Portal,Central,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - Minority (Central) - curated entry for Minority category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - Minority (Central),National Scholarship Portal,Central,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - Minority (Central) - curated entry for Minority category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - Minority (Central),Ministry of Education,Central,UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - Minority (Central) - curated entry for Minority category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - Minority (Central),Ministry of Social Justice,Central,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - Minority (Central) - curated entry for Minority category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - Minority (Central),UGC,Central,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Fellowship - Minority (Central) - curated entry for Minority category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - Minority (Central),AICTE,Central,UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - Minority (Central) - curated entry for Minority category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - Minority (TN),Tamil Nadu Government,State,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - Minority (TN) - curated entry for Minority category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - Minority (TN),District Education Office,State,UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - Minority (TN) - curated entry for Minority category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - Minority (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - Minority (TN) - curated entry for Minority category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - Minority (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,Minority,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - Minority (TN) - curated entry for Minority category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - Female (Central),National Scholarship Portal,Central,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - Female (Central) - curated entry for Female category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - Female (Central),National Scholarship Portal,Central,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - Female (Central) - curated entry for Female category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - Female (Central),Ministry of Education,Central,UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - Female (Central) - curated entry for Female category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - Female (Central),Ministry of Social Justice,Central,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - Female (Central) - curated entry for Female category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - Female (Central),UGC,Central,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Fellowship - Female (Central) - curated entry for Female category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - Female (Central),AICTE,Central,UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - Female (Central) - curated entry for Female category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - Female (TN),Tamil Nadu Government,State,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - Female (TN) - curated entry for Female category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - Female (TN),District Education Office,State,UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - Female (TN) - curated entry for Female category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - Female (TN),Khelo India / TN Sports,Central/State,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - Female (TN) - curated entry for Female category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - Female (TN),Minority Welfare Dept (TN),State,School/UG/PG,Female,Female,Varies,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - Female (TN) - curated entry for Female category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - PwD (Central),National Scholarship Portal,Central,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - PwD (Central) - curated entry for PwD category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - PwD (Central),National Scholarship Portal,Central,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - PwD (Central) - curated entry for PwD category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - PwD (Central),Ministry of Education,Central,UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - PwD (Central) - curated entry for PwD category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - PwD (Central),Ministry of Social Justice,Central,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - PwD (Central) - curated entry for PwD category,Ministry of Social Justice,https://scholarships.gov.in/
Fellowship - PwD (Central),UGC,Central,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Fellowship - PwD (Central) - curated entry for PwD category,UGC,https://scholarships.gov.in/
Professional Course Scholarship - PwD (Central),AICTE,Central,UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Professional Course Scholarship - PwD (Central) - curated entry for PwD category,AICTE,https://scholarships.gov.in/
State Welfare Scholarship - PwD (TN),Tamil Nadu Government,State,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,State Welfare Scholarship - PwD (TN) - curated entry for PwD category,Tamil Nadu Government,https://scholarships.gov.in/
District Merit Scholarship - PwD (TN),District Education Office,State,UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,District Merit Scholarship - PwD (TN) - curated entry for PwD category,District Education Office,https://scholarships.gov.in/
Sports Scholarship - PwD (TN),Khelo India / TN Sports,Central/State,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Sports Scholarship - PwD (TN) - curated entry for PwD category,Khelo India / TN Sports,https://scholarships.gov.in/
Minority Scholarship - PwD (TN),Minority Welfare Dept (TN),State,School/UG/PG,All,PwD,Varies,Varies,https://scholarships.gov.in/,Varies,Minority Scholarship - PwD (TN) - curated entry for PwD category,Minority Welfare Dept (TN),https://scholarships.gov.in/
Post Matric Scholarship - EWS (Central),National Scholarship Portal,Central,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Post Matric Scholarship - EWS (Central) - curated entry for EWS category,National Scholarship Portal,https://scholarships.gov.in/
Pre Matric Scholarship - EWS (Central),National Scholarship Portal,Central,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Pre Matric Scholarship - EWS (Central) - curated entry for EWS category,National Scholarship Portal,https://scholarships.gov.in/
Merit Scholarship - EWS (Central),Ministry of Education,Central,UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit Scholarship - EWS (Central) - curated entry for EWS category,Ministry of Education,https://scholarships.gov.in/
Research Fellowship - EWS (Central),Ministry of Social Justice,Central,School/UG/PG,All,EWS,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Research Fellowship - EWS (Central) - curated entry for EWS category,Ministry of Social Justice,https://scholarships.gov.in/
